Date,SPY
2000-01-03,146.453125
2000-01-04,141.74609375
2000-01-05,139.6796875
2000-01-06,139.15625
2000-01-07,142.96875
2000-01-10,146.109375
2000-01-11,144.9765625
2000-01-12,143.78125
2000-01-13,144.625
2000-01-14,146.734375
2000-01-18,145.7421875
2000-01-19,146.078125
2000-01-20,145.625
2000-01-21,144.875
2000-01-24,142.8125
2000-01-25,140.84765625
2000-01-26,140.86328125
2000-01-27,140.609375
2000-01-28,137.7265625
2000-01-31,137.51171875
2000-02-01,140.2265625
2000-02-02,141.2421875
2000-02-03,141.828125
2000-02-04,142.9765625
2000-02-07,142.2890625
2000-02-08,144.1171875
2000-02-09,142.87109375
2000-02-10,141.65625
2000-02-11,140.125
2000-02-14,139.34375
2000-02-15,139.8359375
2000-02-16,139.77734375
2000-02-17,139.34375
2000-02-18,136.921875
2000-02-22,135.0078125
2000-02-23,136.0390625
2000-02-24,135.15625
2000-02-25,134.58984375
2000-02-28,134.7265625
2000-02-29,136.671875
2000-03-01,138.0703125
2000-03-02,138.421875
2000-03-03,140.75
2000-03-06,140.1640625
2000-03-07,138.10546875
2000-03-08,136.5546875
2000-03-09,138.78125
2000-03-10,140.4609375
2000-03-13,137.859375
2000-03-14,138.0390625
2000-03-15,138.296875
2000-03-16,143.921875
2000-03-17,146.546875
2000-03-20,146.296875
2000-03-21,147.2421875
2000-03-22,149.796875
2000-03-23,151.109375
2000-03-24,153.4765625
2000-03-27,152.7265625
2000-03-28,151.47265625
2000-03-29,151.23046875
2000-03-30,149.47265625
2000-03-31,150.1875
2000-04-03,150.328125
2000-04-04,149.06640625
2000-04-05,148.875
2000-04-06,150.35546875
2000-04-07,151.40625
2000-04-10,151.50390625
2000-04-11,150.1015625
2000-04-12,148.4921875
2000-04-13,145.9140625
2000-04-14,138.734375
2000-04-17,137.84375
2000-04-18,142.3203125
2000-04-19,143.8203125
2000-04-20,143.421875
2000-04-24,141.890625
2000-04-25,146.34375
2000-04-26,147.30078125
2000-04-27,144.8359375
2000-04-28,146.25390625
2000-05-01,146.98828125
2000-05-02,145.21875
2000-05-03,142.1328125
2000-05-04,141.73046875
2000-05-05,142.3828125
2000-05-08,142.60546875
2000-05-09,142.01171875
2000-05-10,139.3359375
2000-05-11,140.5078125
2000-05-12,142.4296875
2000-05-15,143.91015625
2000-05-16,146.5703125
2000-05-17,145.375
2000-05-18,144.671875
2000-05-19,141.83203125
2000-05-22,139.9453125
2000-05-23,139.203125
2000-05-24,138.859375
2000-05-25,139.515625
2000-05-26,138.45703125
2000-05-30,141.2265625
2000-05-31,142.8671875
2000-06-01,144.359375
2000-06-02,148.33984375
2000-06-05,147.421875
2000-06-06,146.6953125
2000-06-07,147.02734375
2000-06-08,147.0546875
2000-06-09,146.921875
2000-06-12,145.921875
2000-06-13,146.1953125
2000-06-14,148.0390625
2000-06-15,147.96875
2000-06-16,147.2734375
2000-06-19,147.5859375
2000-06-20,148.0
2000-06-21,147.53515625
2000-06-22,146.46875
2000-06-23,145.046875
2000-06-26,145.68359375
2000-06-27,145.71875
2000-06-28,145.87109375
2000-06-29,144.55078125
2000-06-30,144.67578125
2000-07-03,146.3359375
2000-07-05,145.5078125
2000-07-06,145.34375
2000-07-07,147.453125
2000-07-10,148.0390625
2000-07-11,147.9765625
2000-07-12,149.3046875
2000-07-13,149.83203125
2000-07-14,150.65234375
2000-07-17,151.1640625
2000-07-18,150.08984375
2000-07-19,149.046875
2000-07-20,149.765625
2000-07-21,148.71875
2000-07-24,147.59765625
2000-07-25,147.421875
2000-07-26,146.41015625
2000-07-27,145.65625
2000-07-28,143.80859375
2000-07-31,143.03125
2000-08-01,143.8359375
2000-08-02,144.375
2000-08-03,144.2265625
2000-08-04,146.203125
2000-08-07,147.4140625
2000-08-08,148.125
2000-08-09,148.29296875
2000-08-10,147.09765625
2000-08-11,146.8984375
2000-08-14,148.421875
2000-08-15,149.21875
2000-08-16,148.9296875
2000-08-17,149.4140625
2000-08-18,149.9140625
2000-08-21,150.1640625
2000-08-22,150.5546875
2000-08-23,150.3046875
2000-08-24,151.1171875
2000-08-25,151.2421875
2000-08-28,151.79296875
2000-08-29,151.50390625
2000-08-30,150.875
2000-08-31,151.8515625
2000-09-01,152.8359375
2000-09-05,151.54296875
2000-09-06,150.55859375
2000-09-07,150.5
2000-09-08,149.98046875
2000-09-11,149.8046875
2000-09-12,149.234375
2000-09-13,148.47265625
2000-09-14,149.40234375
2000-09-15,147.109375
2000-09-18,145.55078125
2000-09-19,145.52734375
2000-09-20,144.94140625
2000-09-21,143.8359375
2000-09-22,143.91015625
2000-09-25,144.9921875
2000-09-26,143.546875
2000-09-27,143.203125
2000-09-28,144.3515625
2000-09-29,144.671875
2000-10-02,144.04296875
2000-10-03,143.765625
2000-10-04,143.140625
2000-10-05,143.9375
2000-10-06,142.33203125
2000-10-09,140.5
2000-10-10,139.1796875
2000-10-11,136.9765625
2000-10-12,135.1953125
2000-10-13,135.2578125
2000-10-16,137.62890625
2000-10-17,136.5390625
2000-10-18,133.2890625
2000-10-19,138.01171875
2000-10-20,139.4609375
2000-10-23,140.109375
2000-10-24,140.375
2000-10-25,137.6875
2000-10-26,136.375
2000-10-27,138.265625
2000-10-30,139.5546875
2000-10-31,141.9296875
2000-11-01,142.296875
2000-11-02,143.0703125
2000-11-03,143.09375
2000-11-06,143.56640625
2000-11-07,143.36328125
2000-11-08,142.3125
2000-11-09,139.625
2000-11-10,137.90625
2000-11-13,135.296875
2000-11-14,138.3046875
2000-11-15,139.12109375
2000-11-16,138.28515625
2000-11-17,137.17578125
2000-11-20,135.28125
2000-11-21,134.98828125
2000-11-22,133.37109375
2000-11-24,134.265625
2000-11-27,136.125
2000-11-28,134.76171875
2000-11-29,134.24609375
2000-11-30,132.0078125
2000-12-01,132.6171875
2000-12-04,132.6484375
2000-12-05,136.3125
2000-12-06,136.66796875
2000-12-07,134.515625
2000-12-08,136.09375
2000-12-11,138.0703125
2000-12-12,138.1015625
2000-12-13,137.70703125
2000-12-14,135.203125
2000-12-15,131.9453125
2000-12-18,132.50390625
2000-12-19,131.8671875
2000-12-20,127.4765625
2000-12-21,126.87890625
2000-12-22,129.97265625
2000-12-26,131.453125
2000-12-27,132.51171875
2000-12-28,133.25
2000-12-29,132.6796875
2001-01-02,130.1328125
2001-01-03,131.7421875
2001-01-04,134.23828125
2001-01-05,131.3671875
2001-01-08,129.484375
2001-01-09,130.453125
2001-01-10,130.515625
2001-01-11,131.98046875
2001-01-12,132.421875
2001-01-16,132.38671875
2001-01-17,133.99609375
2001-01-18,134.21484375
2001-01-19,135.06640625
2001-01-22,134.625
2001-01-23,135.3125
2001-01-24,136.4453125
2001-01-25,136.296875
2001-01-26,135.40234375
2001-01-29,136.09249877929688
2001-01-30,136.95249938964844
2001-01-31,137.43000030517578
2001-02-01,137.30749893188477
2001-02-02,136.23500061035156
2001-02-05,135.31999969482422
2001-02-06,135.6525001525879
2001-02-07,134.62249755859375
2001-02-08,134.10499954223633
2001-02-09,132.45000076293945
2001-02-12,132.5625
2001-02-13,133.03249740600586
2001-02-14,132.00499725341797
2001-02-15,132.92250061035156
2001-02-16,130.49749755859375
2001-02-20,129.66749954223633
2001-02-21,126.96500015258789
2001-02-22,125.42999839782715
2001-02-23,124.34500122070312
2001-02-26,126.38500213623047
2001-02-27,126.64750099182129
2001-02-28,125.2024974822998
2001-03-01,123.75
2001-03-02,123.51500129699707
2001-03-05,124.36999893188477
2001-03-06,126.41749954223633
2001-03-07,126.67000198364258
2001-03-08,126.77499961853027
2001-03-09,124.66749954223633
2001-03-12,120.16749954223633
2001-03-13,119.34749984741211
2001-03-14,117.43500137329102
2001-03-15,118.08749961853027
2001-03-16,116.08749961853027
2001-03-19,116.40500068664551
2001-03-20,116.16749954223633
2001-03-21,113.4000015258789
2001-03-22,110.94499969482422
2001-03-23,113.47250175476074
2001-03-26,115.66999816894531
2001-03-27,116.96500015258789
2001-03-28,115.94750022888184
2001-03-29,114.70499992370605
2001-03-30,115.85750198364256
2001-04-02,115.42000007629395
2001-04-03,112.14500045776367
2001-04-04,110.70499992370605
2001-04-05,114.08500099182127
2001-04-06,113.4375
2001-04-09,114.08249855041504
2001-04-10,116.2549991607666
2001-04-11,117.65999984741211
2001-04-12,117.51250076293945
2001-04-16,117.92250061035156
2001-04-17,118.3125
2001-04-18,122.9375
2001-04-19,124.82999992370605
2001-04-20,124.6150016784668
2001-04-23,122.92250061035156
2001-04-24,122.21249961853027
2001-04-25,122.30249786376955
2001-04-26,124.04250144958496
2001-04-27,125.18499755859375
2001-04-30,126.26249885559082
2001-05-01,125.96750068664551
2001-05-02,126.98000144958496
2001-05-03,125.42749977111816
2001-05-04,125.44499969482422
2001-05-07,126.67749977111816
2001-05-08,126.42499923706055
2001-05-09,125.62750053405762
2001-05-10,126.63749885559082
2001-05-11,125.51000022888184
2001-05-14,125.05000114440918
2001-05-15,125.72000122070312
2001-05-16,126.90249824523926
2001-05-17,129.1974983215332
