,ARE,AMT,AVB,BXP,CPT,CBRE,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,INVH,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,SPG,UDR,VTR,VICI,WELL,WY
2000-01-25,29.953125,41.890625,35.234375,30.609375,26.640625,0.0,33.875,0.0,0.0,21.0625,34.109375,0.0,20.0,11.704519987106323,9.10119891166687,0.0,9.379065036773682,11.734375,22.1875,20.4375,22.890625,10.583212852478027,19.921875,29.6875,23.21807861328125,10.296875,4.121702551841736,0.0,17.078125,58.46875
2000-01-26,29.859375,40.703125,35.125,30.671875,26.65625,0.0,33.8828125,0.0,0.0,20.96875,34.125,0.0,20.03125,11.690289497375488,9.116495370864868,0.0,9.280653476715088,11.822916984558104,22.171875,20.5,22.9375,10.515079975128174,19.984375,31.90625,23.073057174682617,10.234375,3.9789599776268005,0.0,17.203125,58.34375
2000-01-27,29.890625,39.171875,35.03125,30.59375,26.65625,0.0,33.53125,0.0,0.0,21.0234375,34.21875,0.0,20.0625,11.78278684616089,9.08590316772461,0.0,9.23358678817749,11.854166746139526,22.140625,20.546875,22.953125,10.477229118347168,20.0625,30.265625,23.23258066177368,10.015625,3.9968029856681824,0.0,17.140625,57.59375
2000-01-28,29.84375,38.296875,34.890625,30.453125,26.46875,0.0,33.0625,0.0,0.0,21.015625,34.15625,0.0,20.03125,11.704519748687744,8.917645692825317,0.0,9.242144346237183,11.859375,22.15625,20.546875,22.765625,10.4847993850708,19.546875,28.5625,23.174572467803955,9.9375,3.925431251525879,0.0,16.359375,57.8125
2000-01-31,29.578125,36.78125,34.5625,30.25,26.140625,0.0,32.0,0.0,0.0,20.8828125,33.96875,0.0,19.96875,11.612021684646606,8.718796014785767,0.0,9.233586311340332,11.786458253860474,22.21875,20.46875,22.703125,10.386385917663574,19.4375,29.890625,23.05855417251587,9.734375,4.068174242973328,0.0,16.296875,57.515625
2000-02-01,29.65625,36.984375,34.5,29.84375,26.15625,0.0,31.75,0.0,0.0,20.8671875,34.3125,0.0,20.015625,11.323855638504028,8.8564612865448,0.0,8.929794073104858,11.723958253860474,22.234375,20.53125,22.890625,10.378815650939941,19.578125,32.4609375,23.029550075531006,9.765625,4.175231218338013,0.0,16.109375,57.453125
2000-02-02,29.828125,39.109375,34.46875,29.984375,26.1875,0.0,32.578125,0.0,0.0,20.953125,34.609375,0.0,19.859375,11.384335279464722,8.902349710464478,0.0,9.011090755462646,11.661458015441896,22.15625,20.5625,22.953125,10.424237251281738,19.671875,33.640625,22.507469177246094,9.953125,4.228760004043579,0.0,15.921875,56.625
2000-02-03,29.6875,39.59375,34.390625,30.09375,26.078125,0.0,33.328125,0.0,0.0,20.875,34.75,0.0,19.75,11.41991138458252,8.948237895965576,0.0,9.182241439819336,11.776041507720947,22.171875,20.5625,22.890625,10.409096717834473,19.84375,34.515625,22.652491092681885,10.0625,4.246602773666382,0.0,15.71875,55.390625
2000-02-04,29.609375,40.625,34.46875,30.125,26.203125,0.0,32.4921875,0.0,0.0,20.8515625,34.921875,0.0,19.546875,11.3843355178833,8.994126558303833,0.0,9.32344102859497,11.770833492279053,22.078125,20.515625,22.890625,10.4847993850708,19.875,34.5625,22.884527683258057,10.21875,4.068174481391907,0.0,15.546875,55.0
2000-02-07,29.5,38.796875,34.4375,29.921875,26.125,0.0,31.78125,0.0,0.0,20.78125,34.953125,0.0,19.3125,11.405680418014526,9.10119915008545,0.0,9.242144107818604,11.671874761581423,22.171875,20.484375,22.6875,10.416666984558105,19.296875,35.34375,22.89902973175049,10.203125,4.228759765625,0.0,15.46875,53.3125
2000-02-08,29.296875,40.40625,34.4375,30.265625,26.359375,0.0,31.953125,0.0,0.0,20.890625,34.59375,0.0,19.140625,11.398565530776978,9.208271980285645,0.0,9.225029230117798,11.661458253860474,22.296875,20.46875,22.71875,10.431807518005371,19.9375,34.75,22.652491569519043,10.125,4.0860172510147095,0.0,15.5,53.390625
2000-02-09,29.0625,42.0234375,34.359375,30.53125,26.28125,0.0,33.296875,0.0,0.0,20.90625,34.21875,0.0,19.109375,11.419910907745361,9.223568201065063,0.0,9.05387830734253,11.609375,22.21875,20.4375,22.71875,10.416666984558105,19.53125,33.484375,22.536473274230957,10.0625,4.014645755290985,0.0,15.09375,52.765625
2000-02-10,29.25,43.078125,34.328125,30.390625,26.28125,0.0,36.9375,0.0,0.0,20.625,34.3125,0.0,19.15625,11.427026510238647,9.208271980285645,0.0,8.643115997314453,11.515625,22.28125,20.453125,22.671875,10.333394050598145,19.359375,34.5,22.666994094848633,10.078125,3.9611170291900635,0.0,14.84375,51.609375
2000-02-11,29.1875,44.453125,34.234375,30.265625,26.40625,0.0,38.3046875,0.0,0.0,20.4140625,34.296875,0.0,18.984375,11.33452844619751,9.024718523025513,0.0,8.638837575912476,11.4375,22.328125,20.328125,22.5625,10.29554295539856,19.21875,35.0625,22.28993558883667,10.0625,3.78268826007843,0.0,14.890625,51.234375
2000-02-14,29.421875,44.5,34.203125,30.140625,26.28125,0.0,37.65625,0.0,0.0,19.828125,34.421875,0.0,18.3125,11.113956928253174,8.948238134384155,0.0,8.326486945152283,11.286458492279053,22.28125,20.1875,22.515625,10.318253993988037,18.703125,34.98828125,21.970887184143066,10.046875,3.6577882766723633,0.0,14.953125,51.109375
