,ADM,MO,BF.B,BG,CPB,CHD,CLX,KO,CL,CAG,STZ,COST,DG,DLTR,EL,GIS,HSY,HRL,K,KDP,KMB,KHC,KR,LW,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SJM,SYY,TGT,TSN,WBA,WMT
2000-01-03,10.870181322097778,23.53125,0.0,0.0,38.359375,4.395833253860474,49.390625,28.453125,31.53125,17.55836534500122,6.2519532442092896,44.8828125,0.0,10.753472089767456,24.9765625,17.421875,23.3671875,5.0527344942092896,30.0,0.0,61.496283531188965,0.0,9.5078125,0.0,7.20703125,25.796875,0.0,0.0900102499872446,36.15625,0.0,53.578125,19.34375,19.265625,35.9140625,16.203125,28.375,67.421875
2000-01-04,10.81349229812622,23.59375,0.0,0.0,36.46875,4.28125,48.296875,28.15625,30.5390625,17.412450790405273,6.210937738418579,43.265625,0.0,10.767361164093018,24.4609375,16.984375,22.6015625,4.9785157442092896,29.21875,0.0,60.62739562988281,0.0,9.6015625,0.0,7.0078125,25.21875,0.0,0.08816624805331225,36.453125,0.0,52.953125,18.96875,18.703125,34.71875,16.015625,27.703125,64.953125
2000-01-05,10.6717689037323,23.703125,0.0,0.0,35.875,4.242187738418579,48.75,28.359375,29.7890625,17.30301570892334,6.082031488418579,42.4453125,0.0,10.798611164093018,23.787109375,16.7734375,22.5546875,5.023437738418579,28.578125,0.0,60.55249309539795,0.0,9.859375,0.0,7.0703125,25.6875,0.0,0.08795799687504763,35.515625,0.0,51.984375,18.78125,18.6796875,34.15625,16.09375,27.703125,63.359375
2000-01-06,10.615079164505005,23.3125,0.0,0.0,35.75,4.302083253860474,48.671875,28.5234375,29.2890625,17.375972747802734,6.337890982627869,43.69140625,0.0,11.06944489479065,23.8671875,16.7578125,22.90625,5.0703125,28.484375,0.0,60.82214832305908,0.0,9.6796875,0.0,7.015625,26.1953125,0.0,0.08742650039494032,35.6875,0.0,53.4375,18.875,18.9453125,32.515625,16.171875,27.359375,63.484375
2000-01-07,10.799319744110107,23.46875,0.0,0.0,36.796875,4.458333492279053,51.03125,29.65625,30.171875,18.239299297332764,6.5644532442092896,45.0,0.0,11.239583015441895,24.6875,17.015625,23.046875,5.144531488418579,29.140625,0.0,62.60486602783203,0.0,9.484375,0.0,7.01953125,26.2109375,0.0,0.08823925070464608,37.453125,0.0,56.53125,19.1875,19.3515625,32.875,16.625,27.21875,66.609375
2000-01-10,10.898526191711426,23.890625,0.0,0.0,36.40625,4.510416746139526,52.296875,29.90625,31.5625,18.04474687576294,6.4453125,46.8671875,0.0,11.63194465637207,25.6875,16.65625,23.09375,5.156250238418579,28.65625,0.0,64.10294723510742,0.0,9.34375,0.0,6.82421875,25.8515625,0.0,0.08757250197231765,37.453125,0.0,57.9296875,19.15625,19.3828125,33.21875,16.828125,28.046875,66.90625
2000-01-11,10.742630004882812,24.234375,0.0,0.0,36.109375,4.46875,51.578125,30.2890625,31.8359375,18.081225872039795,6.3027344942092896,46.5625,0.0,11.576388835906982,25.21875,16.609375,22.8515625,5.158203482627869,28.515625,0.0,63.99808311462402,0.0,9.0703125,0.0,6.71484375,25.1875,0.0,0.0896244999021291,37.0625,0.0,58.1640625,19.0,19.453125,33.59375,16.703125,29.28125,66.671875
2000-01-12,10.827664136886597,24.265625,0.0,0.0,35.96875,4.4010419845581055,51.953125,30.5703125,31.859375,18.555447578430176,6.320312738418579,46.125,0.0,11.281249523162842,25.140625,16.7109375,22.7265625,5.0957032442092896,28.640625,0.0,62.78463554382324,0.0,9.265625,0.0,6.5546875,25.2265625,0.0,0.0890292506664991,36.65625,0.0,58.515625,19.03125,19.8984375,33.953125,16.703125,30.078125,65.765625
2000-01-13,10.94104290008545,24.453125,0.0,0.0,36.28125,4.4765625,54.046875,30.484375,32.3046875,18.16634225845337,6.402343988418579,46.8125,0.0,11.421875,25.15625,16.6484375,22.4609375,5.0390625,27.8125,0.0,62.91946315765381,0.0,9.390625,0.0,6.8359375,26.0078125,0.0,0.08860399946570392,36.203125,0.0,57.9296875,19.1875,20.0234375,34.5703125,17.234375,30.109375,65.5625
2000-01-14,11.139455556869507,24.296875,0.0,0.0,35.015625,4.544270992279053,54.40625,30.546875,32.265625,17.594843864440918,6.47265625,48.859375,0.0,11.753472566604614,25.765625,16.4296875,21.5390625,5.0566407442092896,26.859375,0.0,62.8295783996582,0.0,9.359375,0.0,6.8984375,25.9140625,0.0,0.08926024846732612,36.25,0.0,58.109375,19.1875,19.96875,34.8203125,16.703125,29.546875,64.609375
2000-01-18,11.663832426071167,23.5625,0.0,0.0,34.375,4.388020515441895,52.890625,31.515625,31.46875,17.41245126724243,6.505859732627869,50.0,0.0,11.89930534362793,26.3515625,16.2578125,21.2734375,5.056640982627869,26.953125,0.0,61.96069049835205,0.0,9.109375,0.0,6.6953125,25.1015625,0.0,0.0905097480863332,36.1875,0.0,58.4921875,19.21875,19.578125,33.90625,16.15625,29.109375,64.5625
