Sectors,Media
Communication Services,39.826076506979426
Consumer Discretionary,109.4494912131884
Consumer Staples,51.564596521636275
Energy,43.85523911046609
Financials,67.77225415313525
Health Care,75.7166353571128
Industrials,63.0744520965829
Information Technology,56.91217054107092
Materials,52.41752752408994
Real Estate,67.47842914231032
Utilities,40.46255847419225
