,APD,ALB,AMCR,AVY,BALL,CE,CF,CTVA,DOW,DD,EMN,ECL,FMC,FCX,IFF,IP,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SEE,SHW,STLD,VMC,WRK
2000-01-26,28.547062873840332,8.7265625,0.0,68.78125,2.3505859971046448,0.0,0.0,0.0,0.0,57.783267974853516,20.984375,18.0078125,11.708586692810059,8.5,35.703125,45.060441970825195,21.734375,0.0,43.34375,17.078125,19.734375,12.14453125,0.0,28.6015625,27.8515625,5.994791746139526,4.1171875,42.46875,0.0
2000-01-27,28.53260898590088,9.0,0.0,68.9375,2.3574219942092896,0.0,0.0,0.0,0.0,57.4719295501709,21.03125,18.0234375,11.952515125274658,8.6484375,35.890625,44.89992809295654,21.515625,0.0,43.359375,16.5625,20.6875,12.4375,0.0,29.09375,28.3671875,5.96875,4.15234375,42.984375,0.0
2000-01-28,27.76653528213501,8.9375,0.0,67.46875,2.296875,0.0,0.0,0.0,0.0,55.47786903381348,19.546875,17.484375,11.793283939361572,8.7890625,35.703125,45.03125762939453,20.9609375,0.0,43.8125,16.65625,20.734375,12.6875,12.046875,28.4140625,28.6484375,5.890625,4.09765625,42.390625,0.0
2000-01-31,27.564176559448242,8.9765625,0.0,67.03125,2.2587890028953552,0.0,0.0,0.0,0.0,54.743995666503906,19.7734375,17.5703125,11.695034980773926,8.71875,35.796875,44.02440166473389,20.15625,0.0,42.859375,16.5,20.296875,12.3984375,12.03125,27.9453125,28.0625,5.880208492279053,3.9765625,42.203125,0.0
2000-02-01,27.896623611450195,8.859375,0.0,66.921875,2.2519532442092896,0.0,0.0,0.0,0.0,56.04865837097168,19.890625,17.4921875,11.68825888633728,8.703125,35.375,44.52053451538086,20.2890625,0.0,42.171875,17.234375,19.9375,12.52734375,12.015625,27.84375,27.734375,5.994791507720948,4.109375,42.1875,0.0
2000-02-02,28.185707569122314,8.78125,0.0,66.875,2.2285157442092896,0.0,0.0,0.0,0.0,55.38150119781494,19.8515625,17.3046875,11.640828132629395,8.75,35.328125,44.272467613220215,19.875,0.0,42.875,17.1875,20.671875,12.45703125,12.03125,27.65625,27.46875,5.963541507720947,4.3125,42.3125,0.0
2000-02-03,28.344703674316406,8.796875,0.0,66.484375,2.2324219942092896,0.0,0.0,0.0,0.0,54.551259994506836,20.0,17.28125,11.644216299057007,8.7265625,35.625,43.83470344543457,20.2109375,0.0,43.84375,16.890625,20.9375,12.3984375,12.015625,27.3984375,27.0234375,6.171875,4.203125,42.5,0.0
2000-02-04,28.547062873840332,8.703125,0.0,66.390625,2.1875,0.0,0.0,0.0,0.0,54.06201171875,20.0390625,17.515625,11.508700132369997,9.1640625,35.828125,43.01754570007324,20.4453125,0.0,43.9375,16.546875,23.328125,12.30078125,11.671875,27.2578125,26.515625,6.796874761581422,4.140625,42.765625,0.0
2000-02-07,28.489246368408203,8.609375,0.0,66.09375,2.1542969942092896,0.0,0.0,0.0,0.0,53.20953178405762,19.9609375,17.4609375,11.424002647399902,9.3203125,35.15625,42.28794002532959,20.90625,0.0,43.421875,16.65625,24.0625,11.84375,10.890625,26.5703125,25.75,6.7135419845581055,4.13671875,42.328125,0.0
2000-02-08,28.098982334136963,8.671875,0.0,65.453125,2.0986329913139343,0.0,0.0,0.0,0.0,53.2910737991333,19.953125,17.2265625,11.35963249206543,9.09375,34.15625,42.25875663757325,20.5546875,0.0,42.828125,16.671875,22.3125,11.859375,10.3125,26.09375,25.234375,6.541666746139526,4.13671875,42.125,0.0
2000-02-09,27.07273292541504,8.546875,0.0,64.90625,2.066406488418579,0.0,0.0,0.0,0.0,52.33481502532959,20.0546875,16.765625,11.108927726745605,9.0078125,33.328125,41.33945369720459,19.9140625,0.0,41.71875,16.40625,23.71875,11.9453125,10.0,25.671875,26.0703125,6.395833253860474,4.0703125,42.015625,0.0
2000-02-10,26.248843669891357,8.390625,0.0,64.515625,2.0488282442092896,0.0,0.0,0.0,0.0,50.86706733703613,19.671875,16.5078125,10.851447343826294,8.953125,33.328125,40.17208480834961,19.4296875,0.0,40.375,15.8125,24.328125,11.5703125,10.703125,25.46875,26.046875,6.447916507720947,4.08984375,42.1875,0.0
2000-02-11,25.410499572753906,8.234375,0.0,64.21875,2.0205077528953552,0.0,0.0,0.0,0.0,50.20732307434082,19.34375,16.4609375,10.804016590118408,8.9609375,32.71875,40.36178207397461,18.8984375,0.0,39.875,15.375,24.0625,11.69921875,10.4375,24.8046875,25.6484375,6.338541746139526,3.98828125,41.59375,0.0
2000-02-14,25.930850982666016,8.0859375,0.0,64.453125,2.0292967557907104,0.0,0.0,0.0,0.0,50.14802074432373,19.2890625,16.2734375,10.705767631530762,9.125,32.046875,39.734320640563965,19.0234375,0.0,39.0625,15.59375,23.484375,11.875,10.015625,24.8359375,25.1484375,6.302083253860474,3.83203125,41.0625,0.0
2000-02-15,26.769195079803467,8.3359375,0.0,66.421875,2.0205077528953552,0.0,0.0,0.0,0.0,51.037564277648926,19.6171875,16.4375,10.953084230422974,9.2109375,32.9375,40.113715171813965,19.6875,0.0,39.390625,16.078125,23.296875,12.5703125,10.25,25.7890625,25.3046875,6.494791746139526,3.84375,41.75,0.0
2000-02-16,26.393385887145996,8.3046875,0.0,66.328125,1.9970702528953552,0.0,0.0,0.0,0.0,51.26736259460449,19.6484375,16.515625,10.956472635269165,9.0703125,33.078125,40.71199131011963,20.3671875,0.0,39.796875,15.84375,24.140625,12.91015625,10.5,26.5,24.9140625,6.578125,4.0703125,42.125,0.0
2000-02-17,26.20548105239868,8.28125,0.0,65.90625,1.9863280057907104,0.0,0.0,0.0,0.0,51.022738456726074,19.4375,16.3515625,10.854835271835327,9.0703125,32.75,40.43474102020264,20.5546875,0.0,39.578125,15.765625,23.734375,12.66796875,10.59375,26.34375,24.5859375,6.651041746139526,4.2128907442092896,42.359375,0.0
2000-02-18,25.482770442962646,8.1171875,0.0,64.71875,1.8984375,0.0,0.0,0.0,0.0,50.18508529663086,18.890625,15.8046875,10.770137786865234,9.046875,31.8125,38.53776741027832,20.03125,0.0,39.078125,15.109375,24.0625,12.375,10.515625,25.7890625,24.0234375,6.635416746139526,4.16796875,42.09375,0.0
2000-02-22,25.265957355499268,7.9375,0.0,64.109375,1.8876954913139343,0.0,0.0,0.0,0.0,52.030887603759766,19.203125,15.859375,10.685440301895142,8.90625,31.640625,38.333478927612305,19.71875,0.0,38.484375,15.09375,24.78125,12.625,10.265625,26.0390625,24.421875,6.625,4.10546875,42.21875,0.0
2000-02-23,25.526133060455322,7.921875,0.0,64.46875,1.8857422471046448,0.0,0.0,0.0,0.0,53.120577812194824,19.59375,15.671875,10.573639154434204,8.6328125,31.015625,37.983266830444336,19.625,0.0,38.09375,15.0625,23.90625,12.8359375,10.046875,26.359375,24.8828125,6.635416507720948,4.1328125,41.15625,0.0
2000-02-24,24.745605945587158,7.7890625,0.0,62.9375,1.8271487355232239,0.0,0.0,0.0,0.0,51.15616989135742,18.625,14.9453125,10.47877812385559,7.90625,30.078125,35.85281848907471,18.4921875,0.0,37.078125,14.890625,23.25,12.67578125,10.0625,25.7734375,24.6171875,6.473958015441895,4.12890625,39.96875,0.0
2000-02-25,24.398705005645752,7.6875,0.0,60.765625,1.7861329913139343,0.0,0.0,0.0,0.0,50.54831504821777,18.015625,14.703125,10.309383153915405,7.21875,29.796875,34.18931865692139,17.8359375,0.0,36.796875,14.875,22.359375,12.30078125,10.34375,24.78125,24.3359375,6.427083253860474,4.05078125,39.828125,0.0
2000-02-28,24.35534238815308,7.640625,0.0,60.203125,1.7568362355232239,0.0,0.0,0.0,0.0,50.41488456726074,18.5,14.4765625,10.173867464065552,7.0703125,29.859375,34.21850395202637,17.6796875,0.0,36.421875,14.453125,22.421875,12.21484375,10.171875,24.65625,23.765625,6.401041746139526,3.98046875,39.953125,0.0
