,APA,BKR,CVX,COP,CTRA,DVN,FANG,EOG,EQT,XOM,HAL,HES,KMI,MRO,MPC,OXY,OKE,PSX,PXD,SLB,TRGP,VLO,WMB
2000-01-03,15.32061719894409,20.984375,42.2421875,17.50350284576416,1.2825522422790527,16.3828125,0.0,4.06640625,4.599465727806091,39.5546875,19.625,18.50000095367432,0.0,7.339746117591858,0.0,10.14197850227356,5.468476414680481,0.0,8.46875,27.484375,0.0,4.445412516593933,23.222347736358643
2000-01-04,14.23160171508789,20.328125,41.6484375,17.033010482788086,1.2096352577209473,16.0546875,0.0,3.8046875,4.656879305839539,38.609375,19.078125,17.963541984558105,0.0,7.018195152282715,0.0,9.835099220275879,5.393237948417664,0.0,8.40625,27.1796875,0.0,4.316870093345642,22.57923126220703
2000-01-05,14.366883039474487,20.53125,42.2265625,16.81265354156494,1.2044270038604736,15.984375,0.0,3.79296875,4.805729508399963,39.8203125,18.6015625,17.6875,0.0,7.120718717575073,0.0,9.79019045829773,5.406917691230774,0.0,8.453125,27.078125,0.0,4.431130290031433,23.4679012298584
2000-01-06,15.401786088943481,21.515625,43.5703125,16.937720775604248,1.234375,16.5,0.0,3.92578125,4.8844074010849,41.4765625,18.8046875,17.963541984558105,0.0,7.661296963691711,0.0,9.947372198104858,5.430857181549072,0.0,8.46875,28.03125,0.0,4.548960566520691,24.391650199890137
2000-01-07,15.997023582458496,23.265625,45.0234375,17.289101600646973,1.2708334922790527,17.1328125,0.0,4.08203125,4.9673380851745605,42.640625,19.921875,18.53125,0.0,7.810421943664551,0.0,10.426402807235718,5.53345513343811,0.0,8.65625,29.4296875,0.0,4.588237047195435,25.011380195617676
2000-01-10,15.38825798034668,23.296875,44.4609375,17.169989585876465,1.2825522422790527,16.8671875,0.0,4.0,4.931188702583313,42.015625,20.0,18.63541603088379,0.0,7.8011016845703125,0.0,10.201857328414919,5.612113833427429,0.0,8.53125,29.4453125,0.0,4.538248419761658,25.15169668197632
2000-01-11,15.266504287719727,23.53125,43.84375,17.12234401702881,1.2239584922790527,16.9140625,0.0,4.0625,4.826993823051453,42.078125,19.8984375,18.473958015441895,0.0,7.754499912261963,0.0,10.261735677719116,5.577914357185364,0.0,8.5,29.9296875,0.0,4.470406889915466,24.567045211791992
2000-01-12,15.185335636138916,22.8125,43.4140625,16.913898468017578,1.1927084922790527,16.890625,0.0,4.08203125,4.775959253311157,41.7421875,19.4921875,18.479166984558105,0.0,7.707898497581482,0.0,10.448857545852661,5.632633090019226,0.0,8.421875,29.921875,0.0,4.5132540464401245,24.37995719909668
2000-01-13,15.422077655792236,22.6875,43.6796875,16.90794277191162,1.18359375,17.0625,0.0,4.16015625,4.797223806381226,42.2578125,19.2265625,18.776041984558105,0.0,7.731199145317078,0.0,10.561130285263062,5.742071032524109,0.0,8.40625,30.140625,0.0,4.570383787155151,24.625510215759277
2000-01-14,15.476190567016602,22.53125,43.2265625,16.67567491531372,1.1966145038604736,17.1484375,0.0,4.2265625,4.816361784934998,42.21875,19.2109375,18.958333015441895,0.0,7.745179653167725,0.0,10.583585023880005,5.762590765953064,0.0,8.546875,30.6640625,0.0,4.613231420516968,25.701268196105957
