,AES,LNT,AEE,AEP,AWK,ATO,CNP,CMS,ED,CEG,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SRE,SO,WEC,XEL
2000-01-18,39.8984375,14.2265625,32.875,33.359375,0.0,18.78125,19.3758282661438,30.75,32.953125,0.0,20.7734375,26.343084812164307,46.71499156951904,27.125,24.765625,16.296875,20.34375,13.51863408088684,23.015625,5.335937738418579,6.943762421607971,0.0,21.859375,30.5,10.63105821609497,17.171875,17.28125,14.394331455230713,9.828125,20.03125
2000-01-19,39.171875,14.296875,32.78125,33.265625,0.0,18.71875,19.402172088623047,30.78125,33.109375,0.0,21.0546875,26.781915187835693,47.46406555175781,26.9375,24.328125,16.4375,20.234375,13.591075658798218,22.78125,5.382812738418579,6.962180972099304,0.0,22.203125,30.375,10.703823566436768,17.3671875,17.25,14.461148262023926,9.890625,19.78125
2000-01-20,39.1484375,14.578125,32.9375,33.21875,0.0,18.59375,19.323140621185303,30.828125,33.078125,0.0,21.1640625,28.045213222503662,48.349337577819824,26.828125,24.171875,16.5,20.46875,13.496344327926636,22.734375,5.3457032442092896,7.1402260065078735,0.0,22.109375,30.84375,10.762035846710205,17.3984375,17.125,14.489784479141235,9.9375,19.71875
2000-01-21,39.578125,16.03125,33.09375,33.625,0.0,18.375,19.389000415802002,31.15625,33.484375,0.0,21.203125,30.492021083831787,49.16650867462158,27.203125,24.125,16.5,20.546875,13.70809555053711,22.828125,5.437500238418579,7.496316194534302,0.0,22.15625,30.859375,11.00943922996521,17.6171875,17.265625,14.862051486968994,10.0703125,19.734375
2000-01-24,40.109375,17.40625,33.46875,34.046875,0.0,18.46875,19.178250312805176,31.515625,34.21875,0.0,21.3046875,33.031914710998535,49.697669982910156,28.25,23.640625,16.71875,20.03125,14.198466777801514,23.109375,5.527343988418579,8.153241395950317,0.0,22.453125,31.328125,10.973056316375732,17.75,17.21875,15.21522855758667,10.203125,19.71875
2000-01-25,39.0546875,16.46875,32.984375,33.375,0.0,17.90625,18.58551597595215,30.953125,33.5625,0.0,21.1015625,31.1968092918396,49.861104011535645,28.734375,22.65625,16.34375,19.84375,14.33777666091919,22.96875,5.382812738418579,8.085706949234009,0.0,21.921875,31.15625,10.762036085128784,17.3984375,17.1875,15.358407974243164,10.125,19.546875
2000-01-26,37.046875,15.40625,32.921875,33.34375,0.0,17.390625,18.480141162872314,30.546875,33.5625,0.0,21.28125,30.41223430633545,49.95643997192383,28.953125,22.28125,15.703125,20.171875,14.382355213165283,23.015625,5.2832032442092896,7.67436146736145,0.0,21.6875,30.71875,10.623781442642212,17.1328125,18.640625,15.539768934249878,10.078125,19.34375
2000-01-27,37.546875,14.9921875,32.921875,33.671875,0.0,17.0625,18.862125396728516,30.328125,33.59375,0.0,21.3046875,29.999999523162842,50.05177688598633,29.015625,22.609375,15.65625,20.421875,14.81143045425415,23.125,5.2265625,7.533153533935547,0.0,21.71875,31.40625,10.769312858581543,17.20703125,18.34375,15.64476704597473,10.03125,19.3125
2000-01-28,38.0078125,14.8515625,32.515625,33.265625,0.0,16.96875,18.756750106811523,29.734375,33.046875,0.0,20.390625,28.869680881500244,49.77938747406006,28.625,23.265625,15.875,20.53125,14.861581325531006,22.875,5.181640982627869,7.367387056350708,0.0,21.34375,30.390625,10.5146324634552,16.921875,18.15625,15.53976845741272,9.984375,19.328125
2000-01-31,39.515625,14.8125,32.4375,33.3125,0.0,17.25,18.980672359466553,29.859375,32.625,0.0,20.6328125,29.095744609832764,49.94282150268555,28.640625,24.296875,15.984375,20.359375,14.73898959159851,22.8125,5.226562976837158,7.232317924499512,0.0,21.734375,30.453125,10.740206480026245,16.9609375,18.359375,15.57795000076294,9.9140625,19.25
2000-02-01,40.09375,14.8671875,32.625,33.5,0.0,17.71875,18.96750020980835,24.75,32.796875,0.0,20.671875,29.707446575164795,50.09263610839844,28.875,25.3125,15.75,20.328125,14.847650289535522,22.90625,5.201172232627869,7.324410438537598,0.0,22.0625,30.828125,10.769312620162964,17.1640625,18.5625,15.616131782531738,9.9296875,19.28125
2000-02-02,39.859375,14.671875,32.828125,33.71875,0.0,17.578125,18.993844032287598,21.921875,32.671875,0.0,20.609375,29.002660274505615,49.697669982910156,28.546875,25.125,15.640625,20.40625,14.895015954971313,22.921875,5.197265982627869,7.361247539520264,0.0,22.140625,31.03125,10.703823566436768,17.0625,18.71875,15.425225257873535,10.09375,19.234375
